agency_type,product_name,gender,duration,destination,net_sales_SGD,age,claim,age_group
Airlines,Annual Silver Plan,F,365,SINGAPORE,216.0,57,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,4,MALAYSIA,10.0,33,0,Adult Travelers
Airlines,Basic Plan,M,19,INDIA,22.0,26,0,Young Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,20,UNITED STATES,112.0,59,0,Adult Travelers
Airlines,Bronze Plan,M,8,SINGAPORE,16.0,28,0,Young Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,2,SINGAPORE,10.0,36,0,Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,25,"KOREA, REPUBLIC OF",50.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,90,SINGAPORE,78.0,22,0,Young Adult Travelers
Airlines,Basic Plan,M,4,THAILAND,22.0,39,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,24,GERMANY,80.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,43,JAPAN,40.0,28,0,Young Adult Travelers
Airlines,Annual Silver Plan,M,365,SINGAPORE,216.0,27,0,Young Adult Travelers
Airlines,Basic Plan,F,103,"KOREA, REPUBLIC OF",26.0,48,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,6,SINGAPORE,10.0,43,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,16,INDONESIA,47.0,36,0,Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,8,JAPAN,25.0,27,0,Young Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,27,SINGAPORE,10.0,51,0,Adult Travelers
Travel Agency,1 way Comprehensive Plan,Not Specified,34,THAILAND,23.0,36,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,3,MALAYSIA,20.0,65,0,Senior Citizen Travelers
Travel Agency,Cancellation Plan,Not Specified,14,MALAYSIA,10.0,47,0,Adult Travelers
Airlines,Basic Plan,M,12,VIET NAM,30.0,35,1,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,31,UNITED STATES,80.0,54,0,Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,43,AUSTRALIA,42.0,36,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,5,MALAYSIA,10.0,23,0,Young Adult Travelers
Travel Agency,2 way Comprehensive Plan,Not Specified,7,THAILAND,56.0,46,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,56,UNITED STATES,19.8,33,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,29,INDIA,14.0,36,0,Adult Travelers
Airlines,Bronze Plan,F,30,SINGAPORE,16.0,58,1,Adult Travelers
Airlines,Basic Plan,F,8,THAILAND,30.0,42,0,Adult Travelers
Travel Agency,Rental Vehicle Excess Insurance,Not Specified,58,FINLAND,29.7,31,0,Adult Travelers
Travel Agency,Cancellation Plan,Not Specified,19,UNITED KINGDOM,10.0,36,0,Adult Travelers
Travel Agency,Single Trip Travel Protect Gold,F,9,SRI LANKA,36.0,29,0,Young Adult Travelers
